Protein,Label,adj.pvalue,accession,interesting,Annotation.x,Species.x,BiologicalProcess.x,GOTerms,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Evalue,C14,C15,reviewed,Annotation.y,C18,Species.y,C20,BiologicalProcess.y,GOTerm,Pathway,C24,C25,C26
CHOYP_LOC100150876.1.1|m.61100,EelgrassFB-EelgrassSK,0.001227546,sp|Q96NN9|AIFM3_HUMAN,x,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),Homo sapiens (Human),cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,Q96NN9,sp,AIFM3_HUMAN,46.024,591,301,3,227,812,9,586,0,574,AIFM3_HUMAN,reviewed,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),AIFM3 AIFL,Homo sapiens (Human),605,cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,0,0,0,PF07992;PF14759;PF00355;
CHOYP_LOC580355.1.1|m.29389,EelgrassPG-EelgrassWB,0.012742198,sp|P07314|GGT1_RAT,,Gamma-glutamyltranspeptidase 1 (GGT 1) (EC 2.3.2.2) (Gamma-glutamyltransferase 1) (Glutathione hydrolase 1) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Gamma-glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain],Rattus norvegicus (Rat),aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; glutamate metabolic process [GO:0006536]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; peptide modification [GO:0031179]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; zymogen activation [GO:0031638],GO:0003840; GO:0005615; GO:0005886; GO:0005887; GO:0006536; GO:0006750; GO:0006751; GO:0007568; GO:0031179; GO:0031638; GO:0032355; GO:0032496; GO:0034599; GO:0034612; GO:0036374,P07314,sp,GGT1_RAT,37.75,551,317,16,73,613,27,561,2.60E-109,269,HS12A_HUMAN,reviewed,Heat shock 70 kDa protein 12A,HSPA12A KIAA0417,Homo sapiens (Human),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_LOC582178.1.1|m.42729,EelgrassCI-EelgrassSK,0.089663217,sp|Q91VD9|NDUS1_MOUSE,,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-75kD) (CI-75kD)",Mus musculus (Mouse),apoptotic mitochondrial changes [GO:0008637]; ATP metabolic process [GO:0046034]; ATP synthesis coupled electron transport [GO:0042773]; cellular respiration [GO:0045333]; reactive oxygen species metabolic process [GO:0072593]; regulation of mitochondrial membrane potential [GO:0051881],GO:0005739; GO:0005747; GO:0005758; GO:0008137; GO:0008637; GO:0009055; GO:0042773; GO:0043209; GO:0045333; GO:0046034; GO:0046872; GO:0051537; GO:0051539; GO:0051881; GO:0072593,Q91VD9,sp,NDUS1_MOUSE,70.799,726,204,4,20,744,1,719,0,307,CP20A_HUMAN,reviewed,Cytochrome P450 20A1 (EC 1.14.-.-),CYP20A1 UNQ667/PRO1301,Homo sapiens (Human),462,0,GO:0004497; GO:0005506; GO:0016020; GO:0016021; GO:0016705; GO:0020037,0,0,0,PF00067;
CHOYP_LOC586494.1.1|m.50214,EelgrassCI-EelgrassSK,0.348076994,sp|Q96T60|PNKP_HUMAN,,Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)],Homo sapiens (Human),"dephosphorylation [GO:0016311]; DNA 3' dephosphorylation involved in DNA repair [GO:0098504]; DNA damage response, detection of DNA damage [GO:0042769]; DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; nucleotide-excision repair, DNA damage removal [GO:0000718]; nucleotide phosphorylation [GO:0046939]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; response to oxidative stress [GO:0006979]; response to radiation [GO:0009314]",GO:0000718; GO:0003684; GO:0003690; GO:0004519; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006261; GO:0006281; GO:0006979; GO:0009314; GO:0016020; GO:0016311; GO:0017076; GO:0019201; GO:0032212; GO:0042769; GO:0046403; GO:0046404; GO:0046939; GO:0051973; GO:0098504; GO:1904355,Q96T60,sp,PNKP_HUMAN,43.75,352,195,3,85,434,153,503,5.64E-95,329,HS12A_MOUSE,reviewed,Heat shock 70 kDa protein 12A,Hspa12a Kiaa0417,Mus musculus (Mouse),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_LOC591177.1.1|m.1476,BareCI-BareFB,0.305100156,sp|Q8K0U4|HS12A_MOUSE,,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,34.253,616,340,16,118,678,56,661,5.31E-102,55.8,PLCL_MYTGA,reviewed,Perlucin-like protein,0,Mytilus galloprovincialis (Mediterranean mussel),156,0,GO:0005576; GO:0030246,0,0,0,PF00059;
CHOYP_LOC592585.1.1|m.51309,BareFB-EelgrassFB,0.003683261,sp|P16444|DPEP1_HUMAN,,Dipeptidase 1 (EC 3.4.13.19) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP),Homo sapiens (Human),antibiotic metabolic process [GO:0016999]; cellular lactam catabolic process [GO:0072340]; cellular response to calcium ion [GO:0071277]; cellular response to drug [GO:0035690]; cellular response to nitric oxide [GO:0071732]; glutathione metabolic process [GO:0006749]; homocysteine metabolic process [GO:0050667]; leukotriene metabolic process [GO:0006691]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; xenobiotic metabolic process [GO:0006805],GO:0005615; GO:0005886; GO:0006691; GO:0006749; GO:0006805; GO:0008235; GO:0008239; GO:0008270; GO:0016324; GO:0016805; GO:0016999; GO:0030336; GO:0031225; GO:0031528; GO:0034235; GO:0035690; GO:0043027; GO:0043066; GO:0043154; GO:0045177; GO:0050667; GO:0070062; GO:0070573; GO:0071277; GO:0071732; GO:0072340; GO:0072341,P16444,sp,DPEP1_HUMAN,50.423,355,155,7,76,428,23,358,7.41E-117,300,PRDX6_BOVIN,reviewed,Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Ciliary body glutathione peroxidase) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9) (PHGPx),PRDX6 AOP2 GPX PHGPX,Bos taurus (Bovine),224,cell redox homeostasis [GO:0045454]; phospholipid catabolic process [GO:0009395]; response to reactive oxygen species [GO:0000302],GO:0000302; GO:0004601; GO:0004602; GO:0004623; GO:0005615; GO:0005737; GO:0005764; GO:0005829; GO:0009395; GO:0016020; GO:0016023; GO:0045454; GO:0051920; GO:0070062,0,0,0,PF10417;PF00578;
CHOYP_LOC659206.6.6|m.43541,BareFB-BareWB,7.72E-05,sp|P02466|CO1A2_RAT,,Collagen alpha-2(I) chain (Alpha-2 type I collagen),Rattus norvegicus (Rat),cellular response to organic substance [GO:0071310]; cellular response to retinoic acid [GO:0071300]; cellular response to thyroid hormone stimulus [GO:0097067]; extracellular matrix organization [GO:0030198]; response to norepinephrine [GO:0071873],GO:0005201; GO:0005576; GO:0005578; GO:0005581; GO:0030198; GO:0046872; GO:0071300; GO:0071310; GO:0071873; GO:0097067,P02466,sp,CO1A2_RAT,40.309,1424,613,32,452,1768,79,1372,3.63E-156,634,SRRT_DROYA,reviewed,Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog),Ars2 GE19427,Drosophila yakuba (Fruit fly),944,primary miRNA processing [GO:0031053]; RNA interference [GO:0016246],GO:0005654; GO:0016246; GO:0031053,0,0,0,PF04959;PF12066;
CHOYP_LOC732900.1.1|m.62814,BareFB-BareSK,0.215344566,sp|Q641Y2|NDUS2_RAT,,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",Rattus norvegicus (Rat),response to oxidative stress [GO:0006979],GO:0005654; GO:0005747; GO:0006979; GO:0008137; GO:0046872; GO:0048038; GO:0051287; GO:0051539,Q641Y2,sp,NDUS2_RAT,74.596,433,106,2,50,480,33,463,0,202,TDRD1_DANRE,reviewed,Tudor domain-containing protein 1,tdrd1 im:7155161,Danio rerio (Zebrafish) (Brachydanio rerio),1175,DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; P granule organization [GO:0030719]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283],GO:0005737; GO:0007281; GO:0007283; GO:0030719; GO:0031047; GO:0034584; GO:0034587; GO:0043046; GO:0043186; GO:0046872; GO:0051321; GO:0071546,0,0,0,PF00567;PF01753;
CHOYP_LOC770082.3.4|m.34164,BareCI-BareSK,0.222969932,sp|Q9CZJ2|HS12B_MOUSE,,Heat shock 70 kDa protein 12B,Mus musculus (Mouse),0,GO:0005524,Q9CZJ2,sp,HS12B_MOUSE,31.62,642,353,19,30,602,61,685,1.01E-93,850,HS74L_HUMAN,reviewed,Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94),HSPA4L APG1 OSP94,Homo sapiens (Human),839,protein folding [GO:0006457]; response to unfolded protein [GO:0006986],GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006457; GO:0006986,0,0,0,PF00012;
CHOYP_LOC770082.4.4|m.37278,EelgrassPG-EelgrassWB,0.600342214,sp|Q9CZJ2|HS12B_MOUSE,,Heat shock 70 kDa protein 12B,Mus musculus (Mouse),0,GO:0005524,Q9CZJ2,sp,HS12B_MOUSE,30.168,179,117,3,8,178,507,685,1.85E-21,299,PNKP_HUMAN,reviewed,Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)],PNKP,Homo sapiens (Human),521,"dephosphorylation [GO:0016311]; DNA 3' dephosphorylation involved in DNA repair [GO:0098504]; DNA damage response, detection of DNA damage [GO:0042769]; DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; nucleotide-excision repair, DNA damage removal [GO:0000718]; nucleotide phosphorylation [GO:0046939]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; response to oxidative stress [GO:0006979]; response to radiation [GO:0009314]",GO:0000718; GO:0003684; GO:0003690; GO:0004519; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006261; GO:0006281; GO:0006979; GO:0009314; GO:0016020; GO:0016311; GO:0017076; GO:0019201; GO:0032212; GO:0042769; GO:0046403; GO:0046404; GO:0046939; GO:0051973; GO:0098504; GO:1904355,0,0,0,PF08645;
CHOYP_LONM.1.1|m.7031,EelgrassPG-EelgrassSK,0.159420999,sp|Q8CGK3|LONM_MOUSE,,"Lon protease homolog, mitochondrial (EC 3.4.21.-) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)",Mus musculus (Mouse),aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein complex assembly [GO:0051131]; misfolded or incompletely synthesized protein catabolic process [GO:0006515]; mitochondrion organization [GO:0007005]; oxidation-dependent protein catabolic process [GO:0070407]; protein homooligomerization [GO:0051260]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of mitochondrial DNA replication [GO:0090296]; response to aluminum ion [GO:0010044]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666],GO:0001666; GO:0003697; GO:0003727; GO:0004176; GO:0004252; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0006508; GO:0006515; GO:0007005; GO:0007568; GO:0009725; GO:0010044; GO:0016020; GO:0016887; GO:0034599; GO:0042645; GO:0043531; GO:0043565; GO:0051131; GO:0051260; GO:0051603; GO:0051880; GO:0070182; GO:0070361; GO:0070407; GO:0090296,Q8CGK3,sp,LONM_MOUSE,56.443,939,362,11,80,1010,41,940,0,360,HS12A_HUMAN,reviewed,Heat shock 70 kDa protein 12A,HSPA12A KIAA0417,Homo sapiens (Human),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_MAPK7.1.1|m.33213,EelgrassPG-EelgrassSK,0.067387598,sp|Q9WVS8|MK07_MOUSE,,Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5),Mus musculus (Mouse),cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to transforming growth factor beta stimulus [GO:0071560]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ERK5 cascade [GO:0070377]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NFAT protein import into nucleus [GO:0051534]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of response to cytokine stimulus [GO:0060761]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; protein phosphorylation [GO:0006468]; regulation of angiogenesis [GO:0045765],GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0007049; GO:0016605; GO:0018105; GO:0030154; GO:0034115; GO:0036003; GO:0043066; GO:0043407; GO:0045765; GO:0045944; GO:0051019; GO:0051247; GO:0051534; GO:0060761; GO:0070301; GO:0070377; GO:0071363; GO:0071499; GO:0071560; GO:1902176; GO:2000352; GO:2001240,Q9WVS8,sp,MK07_MOUSE,55.882,374,161,2,22,392,40,412,1.27E-142,257,ARHL2_MOUSE,reviewed,Poly(ADP-ribose) glycohydrolase ARH3 (EC 3.2.1.143) (ADP-ribosylhydrolase 3) ([Protein ADP-ribosylarginine] hydrolase-like protein 2),Adprhl2 Arh3,Mus musculus (Mouse),370,cellular response to superoxide [GO:0071451],GO:0004649; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0046872; GO:0071451,0,0,0,PF03747;
CHOYP_MRC1.2.4|m.22571,BarePG-BareSK,0.060355683,sp|P86854|PLCL_MYTGA,,Perlucin-like protein,Mytilus galloprovincialis (Mediterranean mussel),0,GO:0005576; GO:0030246,P86854,sp,PLCL_MYTGA,23.81,126,88,4,29,153,30,148,2.56E-08,323,HS12A_MOUSE,reviewed,Heat shock 70 kDa protein 12A,Hspa12a Kiaa0417,Mus musculus (Mouse),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_MRC1.4.4|m.63487,BareSK-EelgrassSK,0,sp|P86854|PLCL_MYTGA,,Perlucin-like protein,Mytilus galloprovincialis (Mediterranean mussel),0,GO:0005576; GO:0030246,P86854,sp,PLCL_MYTGA,26.984,126,83,5,41,165,39,156,5.90E-10,731,CATA_RUGRU,reviewed,Catalase (EC 1.11.1.6),cat,Rugosa rugosa (Japanese wrinkled frog) (Glandirana rugosa),528,hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979],GO:0004096; GO:0005777; GO:0006979; GO:0020037; GO:0042744; GO:0046872,0,0,0,PF00199;PF06628;
CHOYP_MRP1.3.10|m.27615,EelgrassCI-EelgrassFB,0.026511337,sp|P33527|MRP1_HUMAN,,Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter),Homo sapiens (Human),cobalamin metabolic process [GO:0009235]; leukotriene metabolic process [GO:0006691]; response to drug [GO:0042493]; transmembrane transport [GO:0055085]; transport [GO:0006810],GO:0005215; GO:0005524; GO:0005886; GO:0005887; GO:0006691; GO:0006810; GO:0009235; GO:0015420; GO:0016020; GO:0016323; GO:0016887; GO:0042493; GO:0042626; GO:0043225; GO:0055085; GO:0070062,P33527,sp,MRP1_HUMAN,58.312,391,161,2,1,390,1142,1531,5.04E-153,740,HSP7C_CAEBR,reviewed,Heat shock 70 kDa protein C,hsp-3 CBG14829,Caenorhabditis briggsae,661,0,GO:0005524; GO:0005788,0,0,0,PF00012;
CHOYP_MRP1.4.10|m.27993,EelgrassCI-EelgrassFB,0.026511337,sp|Q5F364|MRP1_CHICK,,Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter),Gallus gallus (Chicken),0,GO:0005524; GO:0005886; GO:0016021; GO:0042626,Q5F364,sp,MRP1_CHICK,41.09,1560,797,22,9,1484,3,1524,0,59.7,SAXO1_RAT,reviewed,Stabilizer of axonemal microtubules 1,Saxo1 Fam154a,Rattus norvegicus (Rat),462,cell projection organization [GO:0030030]; cellular response to cold [GO:0070417]; cold acclimation [GO:0009631]; positive regulation of cilium assembly [GO:0045724],GO:0005814; GO:0005879; GO:0008017; GO:0009631; GO:0030030; GO:0031512; GO:0036064; GO:0036126; GO:0045724; GO:0070417,0,0,0,0
CHOYP_MRP4.3.3|m.47438,BarePG-BareWB,0.206526902,sp|O15439|MRP4_HUMAN,,Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B),Homo sapiens (Human),cilium assembly [GO:0042384]; platelet degranulation [GO:0002576]; prostaglandin secretion [GO:0032310]; transmembrane transport [GO:0055085],GO:0002576; GO:0005524; GO:0005886; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042384; GO:0043225; GO:0055085,O15439,sp,MRP4_HUMAN,41.2,500,268,6,1,500,166,639,5.94E-124,2973,CNOT1_MOUSE,reviewed,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1),Cnot1 Kiaa1007,Mus musculus (Mouse),2375,"gene silencing by miRNA [GO:0035195]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; regulation of stem cell population maintenance [GO:2000036]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]; transcription, DNA-templated [GO:0006351]; trophectodermal cell differentiation [GO:0001829]",GO:0000122; GO:0000288; GO:0000932; GO:0001829; GO:0005615; GO:0005634; GO:0005737; GO:0006351; GO:0010606; GO:0016020; GO:0017148; GO:0019904; GO:0030014; GO:0030015; GO:0030331; GO:0032947; GO:0033147; GO:0035195; GO:0042974; GO:0043231; GO:0044822; GO:0048387; GO:0060213; GO:0061014; GO:0070016; GO:0090503; GO:1900153; GO:2000036,0,0,0,PF16415;PF16418;PF16417;PF12842;PF04054;
CHOYP_NEMVEDRAFT_V1G212312.2.5|m.45586,BareCI-BareSK,0.004506062,sp|Q8K0U4|HS12A_MOUSE,,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,30.376,665,387,17,711,1303,13,673,2.43E-80,389,PDK2_HUMAN,reviewed,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)",PDK2 PDHK2,Homo sapiens (Human),407,cellular response to nutrient [GO:0031670]; cellular response to reactive oxygen species [GO:0034614]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; insulin receptor signaling pathway [GO:0008286]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]; regulation of cellular ketone metabolic process [GO:0010565]; regulation of gluconeogenesis [GO:0006111]; regulation of glucose metabolic process [GO:0010906]; regulation of pH [GO:0006885],GO:0004672; GO:0004740; GO:0005524; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0005967; GO:0006006; GO:0006111; GO:0006885; GO:0008286; GO:0010510; GO:0010565; GO:0010906; GO:0031670; GO:0034614; GO:0042593; GO:0042803; GO:0072332,0,0,0,PF10436;PF02518;
CHOYP_NEMVEDRAFT_V1G212312.5.5|m.58424,BareFB-BarePG,0.037138195,sp|O43301|HS12A_HUMAN,,Heat shock 70 kDa protein 12A,Homo sapiens (Human),0,GO:0005524; GO:0070062,O43301,sp,HS12A_HUMAN,30.253,671,396,20,964,1571,12,673,4.91E-80,1028,HSP7C_RAT,reviewed,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8),Hspa8 Hsc70 Hsc73,Rattus norvegicus (Rat),646,"aging [GO:0007568]; axo-dendritic transport [GO:0008088]; cellular protein complex disassembly [GO:0043624]; cellular response to cadmium ion [GO:0071276]; cellular response to heat [GO:0034605]; cerebellum development [GO:0021549]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein folding [GO:0061077]; chaperone mediated protein folding requiring cofactor [GO:0051085]; chaperone-mediated protein transport involved in chaperone-mediated autophagy [GO:0061741]; clathrin coat disassembly [GO:0072318]; estrous cycle [GO:0044849]; forebrain development [GO:0030900]; G1/S transition of mitotic cell cycle [GO:0000082]; intracellular protein transmembrane import [GO:0044743]; kidney development [GO:0001822]; mRNA processing [GO:0006397]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of catalytic activity [GO:0043085]; positive regulation of gene expression [GO:0010628]; positive regulation of lysosomal membrane permeability [GO:0097214]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein refolding [GO:1904592]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein refolding [GO:0042026]; regulation of protein complex stability [GO:0061635]; response to activity [GO:0014823]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to nickel cation [GO:0010045]; response to odorant [GO:1990834]; response to progesterone [GO:0032570]; response to starvation [GO:0042594]; RNA splicing [GO:0008380]; sensory perception of smell [GO:0007608]; skeletal muscle tissue development [GO:0007519]; slow axonal transport [GO:1990832]; transcription, DNA-templated [GO:0006351]",GO:0000082; GO:0000974; GO:0001822; GO:0001916; GO:0001917; GO:0003723; GO:0005102; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0005764; GO:0005765; GO:0005776; GO:0005829; GO:0005874; GO:0005882; GO:0005886; GO:0006351; GO:0006397; GO:0006606; GO:0007519; GO:0007568; GO:0007608; GO:0008021; GO:0008088; GO:0008134; GO:0008380; GO:0009408; GO:0009986; GO:0010045; GO:0010628; GO:0010667; GO:0014069; GO:0014823; GO:0016887; GO:0019899; GO:0021549; GO:0030424; GO:0030425; GO:0030529; GO:0030900; GO:0031686; GO:0032279; GO:0032355; GO:0032570; GO:0034605; GO:0042026; GO:0042277; GO:0042470; GO:0042493; GO:0042594; GO:0042623; GO:0043005; GO:0043025; GO:0043085; GO:0043195; GO:0043197; GO:0043198; GO:0043204; GO:0043234; GO:0043531; GO:0043624; GO:0044743; GO:0044849; GO:0045121; GO:0045471; GO:0045862; GO:0045892; GO:0046777; GO:0048471; GO:0050766; GO:0051082; GO:0051085; GO:0061077; GO:0061635; GO:0061684; GO:0061741; GO:0070062; GO:0071276; GO:0072318; GO:0097214; GO:1903206; GO:1904592; GO:1904593; GO:1904764; GO:1990124; GO:1990832; GO:1990833; GO:1990834; GO:1990836,0,0,0,PF00012;
CHOYP_NEMVEDRAFT_V1G234225.1.1|m.49490,BareFB-BareWB,0.310534964,sp|O77834|PRDX6_BOVIN,,Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Ciliary body glutathione peroxidase) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9) (PHGPx),Bos taurus (Bovine),cell redox homeostasis [GO:0045454]; phospholipid catabolic process [GO:0009395]; response to reactive oxygen species [GO:0000302],GO:0000302; GO:0004601; GO:0004602; GO:0004623; GO:0005615; GO:0005737; GO:0005764; GO:0005829; GO:0009395; GO:0016020; GO:0016023; GO:0045454; GO:0051920; GO:0070062,O77834,sp,PRDX6_BOVIN,66.822,214,70,1,4,216,7,220,1.21E-102,418,HSP7E_BOVIN,reviewed,Heat shock 70 kDa protein 14,HSPA14,Bos taurus (Bovine),509,0,GO:0005524; GO:0005829; GO:0005840; GO:0016020,0,0,0,PF00012;
CHOYP_NEMVEDRAFT_V1G246686.1.1|m.53126,EelgrassFB-EelgrassWB,0.049027426,sp|B3EWY7|ASOMP_ACRMI,,Acidic skeletal organic matrix protein (Acidic SOMP),Acropora millepora (Staghorn coral),0,GO:0005576,B3EWY7,sp,ASOMP_ACRMI,31.818,242,136,7,51,264,84,324,5.82E-30,547,PDIA3_CHICK,reviewed,Protein disulfide-isomerase A3 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Glucose-regulated thiol oxidoreductase 58 kDa protein),PDIA3 ERP57 GRP58,Gallus gallus (Chicken),505,cell redox homeostasis [GO:0045454]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976],GO:0003756; GO:0005634; GO:0005783; GO:0005788; GO:0005925; GO:0006457; GO:0009986; GO:0034976; GO:0042470; GO:0043209; GO:0044822; GO:0045454; GO:0070062; GO:2001238,0,0,0,PF00085;
